Date,Pitcher,O/U K,Mean Release MPH,Mean Release X,Mean Release Y,Mean Release Z,K/9,K/BB,WHIP,ERA,GB/FB,Opp. Team,Opp. Win %,Opp BA,Opp OBP,Opp OPS+,Opp K,Opp BB,Over/Under?
2022-10-05,Nick Pivetta,4.5,87.33806139,-1.509289176,53.80664943,6.591088853,8.7,2.43,1.372,4.56,0.39,TB,0.534,0.2392193309,0.3077567432,99.02345451,1387,494,1
2022-10-07,Shane McClanahan,4.5,89.81567194,0.9074746244,53.66434836,6.166004872,10.5,5.11,0.926,2.54,0.51,CLE,0.568,0.2536883771,0.3149440208,101.7092325,1122,450,1
2022-10-07,Shane Bieber,5.5,86.95704348,-1.293126957,53.87354087,5.582295652,8.9,5.5,1.04,2.88,0.49,TB,0.531,0.2390983001,0.3080892144,99.26148469,1395,500,1
2022-10-07,Zack Wheeler,4.5,92.55593723,-1.64706955,53.2730704,5.509257846,9.6,4.79,1.039,2.82,0.46,STL,0.574,0.2521834061,0.3248986212,114.1562044,1226,537,0
2022-10-07,Jose Quintana,3.5,86.6527121,2.275406815,54.05407163,5.803066759,7.4,2.91,1.213,2.93,0.47,PHI,0.537,0.2533212011,0.3163265306,107.3578012,1362,478,0
2022-10-07,Alek Manoah,5.5,89.55073109,-2.353712651,53.83847107,5.888019708,8.2,3.53,0.992,2.24,0.38,SEA,0.556,0.2301395349,0.3142063103,105.3424881,1397,596,0
2022-10-07,Yu Darvish,5.5,88.2361831,-2.199400875,53.8840828,5.465637832,9.1,5.32,0.95,3.1,0.38,NYM,0.623,0.2590635817,0.3309585492,112.8269106,1217,510,0
2022-10-07,Max Scherzer,5.5,88.40764277,-3.273031344,54.30093602,5.582172606,10.7,7.21,0.908,2.29,0.33,SD,0.549,0.241038771,0.3169230769,104.6608907,1327,574,0
2022-10-08,Jacob deGrom,8.5,94.99207436,-1.468649706,53.82935421,5.624549902,14.3,12.75,0.746,3.08,0.4,SD,0.549,0.241038771,0.3169230769,104.6608907,1327,574,0
2022-10-08,Blake Snell,6.5,91.48725901,2.087229673,53.75458089,6.588189438,12,3.35,1.203,3.38,0.37,NYM,0.623,0.2590635817,0.3309585492,112.8269106,1217,510,0
2022-10-08,Aaron Nola,5.5,87.45710769,-1.973913846,53.61126154,5.108295385,10.3,8.1,0.961,3.25,0.44,STL,0.574,0.2521834061,0.3248986212,114.1562044,1226,537,1
2022-10-08,Miles Mikolas,4.5,87.76118623,-2.065218193,54.07684388,6.562901045,6.8,3.92,1.033,3.29,0.46,PHI,0.537,0.2533212011,0.3163265306,107.3578012,1362,478,0
2022-10-09,Joe Musgrove,4.5,87.28485704,-1.541316625,54.49315567,6.402149665,9.1,4.38,1.083,2.93,0.46,NYM,0.623,0.2590635817,0.3309585492,112.8269106,1217,510,1
2022-10-09,Chris Bassitt,4.5,86.48426929,-1.194144499,54.2844532,5.592275862,8.3,3.41,1.145,3.42,0.5,SD,0.549,0.241038771,0.3169230769,104.6608907,1327,574,0
2022-10-11,Justin Verlander,6.5,89.65837756,-1.612509477,54.42496588,6.964154663,9.5,6.38,0.829,1.75,0.39,SEA,0.556,0.2301395349,0.3142063103,105.3424881,1397,596,0
2022-10-11,Logan Gilbert,4.5,91.15416252,-1.055217247,53.17696849,6.078875622,8.4,3.55,1.18,3.2,0.38,HOU,0.654,0.2479201331,0.3186323092,111.1901222,1179,528,1
2022-10-11,Gerrit Cole,6.5,93.08414994,-1.844929162,54.0830608,5.744474616,11.5,5.14,1.017,3.5,0.42,CLE,0.568,0.2536883771,0.3149440208,101.7092325,1122,450,1
2022-10-11,Cal Quantrill,3.5,90.30393836,-1.282143836,54.13983904,6.407058219,6.2,2.72,1.208,3.38,0.42,NYY,0.611,0.2412393951,0.3237200259,113.6221646,1391,620,1
2022-10-11,Julio Urias,4.5,87.79754007,1.637487887,54.78948192,5.92830041,8.5,4.05,0.96,2.16,0.4,SD,0.549,0.241038771,0.3169230769,104.6608907,1327,574,1
2022-10-11,Mike Clevinger,3.5,88.42533749,-1.563624091,53.69082555,5.430327103,7.2,2.6,1.198,4.33,0.36,LAD,0.685,0.2566515837,0.3330664532,111.9260208,1373,606,0
2022-10-12,Kyle Wright,4.5,89.9626993,-1.803262885,53.96409714,5.59226548,8.7,3.28,1.159,3.19,0.55,PHI,0.537,0.2533212011,0.3163265306,107.3578012,1362,478,1
2022-10-12,Zack Wheeler,5.5,92.57648737,-1.652620212,53.27502445,5.50394458,9.6,4.79,1.039,2.82,0.46,ATL,0.623,0.2530404792,0.3173298257,110.5914173,1498,470,0
2022-10-12,Yu Darvish,5.5,88.17682292,-2.209059245,53.88663086,5.465686849,9.1,5.32,0.95,3.1,0.38,LAD,0.685,0.2566515837,0.3330664532,111.9260208,1373,606,1
2022-10-12,Clayton Kershaw,5.5,86.05746943,1.382778959,54.15218916,6.151004251,9.8,5.96,0.942,2.28,0.48,SD,0.549,0.241038771,0.3169230769,104.6608907,1327,574,1
2022-10-13,Framber Valdez,5.5,88.17874016,0.8710629921,54.58923885,6.070810367,8.7,2.9,1.157,2.82,0.67,SEA,0.556,0.2301395349,0.3142063103,105.3424881,1397,596,1
2022-10-14,Shane Bieber,5.5,86.9902152,-1.296741762,53.87284129,5.582239408,8.9,5.5,1.04,2.88,0.49,NYY,0.611,0.2412393951,0.3237200259,113.6221646,1391,620,1
2022-10-14,Nestor Cortes,4.5,87.14713099,1.418056985,54.72806886,5.612793827,9.3,4.29,0.922,2.44,0.34,CLE,0.568,0.2536883771,0.3149440208,101.7092325,1122,450,0
2022-10-14,Aaron Nola,6.5,87.45965383,-1.970062668,53.61324082,5.109316622,10.3,8.1,0.961,3.25,0.44,ATL,0.623,0.2530404792,0.3173298257,110.5914173,1498,470,0
2022-10-14,Tony Gonsolin,3.5,87.71255969,-0.9290401146,54.51754059,6.21851958,8.2,3.4,0.875,2.14,0.43,SD,0.549,0.241038771,0.3169230769,104.6608907,1327,574,0
2022-10-14,Blake Snell,6.5,91.54180129,2.08812601,53.75815428,6.584551696,12,3.35,1.203,3.38,0.37,LAD,0.685,0.2566515837,0.3330664532,111.9260208,1373,606,0
2022-10-15,Noah Syndergaard,3.5,88.80816714,-0.7761016144,53.82148623,6.236837607,6.3,3.06,1.255,3.94,0.43,ATL,0.623,0.2530404792,0.3173298257,110.5914173,1498,470,0
2022-10-15,George Kirby,3.5,90.91275441,-1.436313885,53.8630891,5.812912709,9.2,6.05,1.208,3.39,0.46,HOU,0.654,0.2479201331,0.3186323092,111.1901222,1179,528,1
2022-10-15,Triston McKenzie,5.5,88.47765921,-1.958141136,53.81140792,6.478499139,8.9,4.32,0.951,2.96,0.34,NYY,0.611,0.2412393951,0.3237200259,113.6221646,1391,620,0
2022-10-15,Luis Severino,4.5,91.92010193,-1.571308041,54.23975085,6.002231031,9.9,3.73,1,3.18,0.45,CLE,0.568,0.2536883771,0.3149440208,101.7092325,1122,450,1
2022-10-15,Joe Musgrove,5.5,87.34196643,-1.536872217,54.49176773,6.401490236,9.1,4.38,1.083,2.93,0.46,LAD,0.685,0.2566515837,0.3330664532,111.9260208,1373,606,1
2022-10-15,Tyler Anderson,3.5,85.54449943,1.928740008,54.40467073,6.009543205,7,4.06,1.002,2.57,0.41,SD,0.549,0.241038771,0.3169230769,104.6608907,1327,574,1
2022-10-18,Nestor Cortes,4,87.12142039,1.420507827,54.72876289,5.61443299,9.3,4.29,0.922,2.44,0.34,CLE,0.568,0.2536883771,0.3149440208,101.7092325,1122,450,0
2022-10-18,Aaron Civale,3.5,84.74026846,-0.7616412447,54.70028676,6.247974375,9.1,4.45,1.186,4.92,0.42,NYY,0.611,0.2412393951,0.3237200259,113.6221646,1391,620,0
2022-10-18,Yu Darvish,5.5,88.1235257,-2.213774834,53.88509934,5.465124566,9.1,5.32,0.95,3.1,0.38,PHI,0.537,0.2533212011,0.3163265306,107.3578012,1362,478,1
2022-10-18,Zack Wheeler,4.5,92.61393604,-1.655317805,53.27128306,5.502270036,9.6,4.79,1.039,2.82,0.46,SD,0.549,0.241038771,0.3169230769,104.6608907,1327,574,1
2022-10-19,Aaron Nola,5.5,87.47907585,-1.967399012,53.61445801,5.112153444,10.3,8.1,0.961,3.25,0.44,SD,0.549,0.241038771,0.3169230769,104.6608907,1327,574,1
2022-10-19,Blake Snell,6.5,91.5848367,2.090085537,53.75427294,6.579591757,12,3.35,1.203,3.38,0.37,PHI,0.537,0.2533212011,0.3163265306,107.3578012,1362,478,0
2022-10-19,Justin Verlander,6.5,89.65546157,-1.606506068,54.42820154,6.965947039,9.5,6.38,0.829,1.75,0.39,NYY,0.611,0.2412393951,0.3237200259,113.6221646,1391,620,1
2022-10-19,Jameson Taillon,4,89.75371074,-1.422495685,53.92946842,6.098798757,7.7,4.72,1.128,3.91,0.41,HOU,0.654,0.2479201331,0.3186323092,111.1901222,1179,528,0
2022-10-20,Framber Valdez,5.5,88.13156051,0.8697292994,54.59099363,6.074089172,8.7,2.9,1.157,2.82,0.67,NYY,0.611,0.2412393951,0.3237200259,113.6221646,1391,620,1
2022-10-20,Luis Severino,4.5,91.97938034,-1.571036325,54.23866987,6.002740385,9.9,3.73,1,3.18,0.45,HOU,0.654,0.2479201331,0.3186323092,111.1901222,1179,528,1
2022-10-21,Joe Musgrove,5.5,87.37060576,-1.528914267,54.48933797,6.39898709,9.1,4.38,1.083,2.93,0.46,PHI,0.537,0.2533212011,0.3163265306,107.3578012,1362,478,0
2022-10-21,Ranger Suarez,3.5,89.15521723,2.24477163,54.32642406,5.84444857,7.5,2.22,1.333,3.65,0.56,SD,0.549,0.241038771,0.3169230769,104.6608907,1327,574,0
2022-10-23,Nestor Cortes,4.5,87.14839552,1.418044776,54.72478731,5.615097015,9.3,4.29,0.922,2.44,0.34,HOU,0.654,0.2479201331,0.3186323092,111.1901222,1179,528,0
