Date,Pitcher,O/U K,Mean Release MPH,Mean Release X,Mean Release Y,Mean Release Z,K/9,K/BB,WHIP,ERA,GB/FB,Opp. Team,Opp. Win %,Opp BA,Opp OBP,Opp OPS+,Opp K,Opp BB,Over/Under?,Actual
2023-04-13,Bailey Falter,4.5,85.13136792,1.045377358,53.19393868,5.788820755,4.4,,,,,,,,,,,,0,
2023-04-13,Cole Irvin,4.5,86.77089947,1.484021164,54.04195767,6.128306878,9.3,1.5,2.077,9.35,0.32,OAK,0.25,0.2280701754,0.295045045,86.64414414,107,37,0,
2023-04-13,Vince Velasquez,3.5,88.75983607,-1.917909836,53.79672131,5.600737705,4.9,0.8,2.182,9.82,0.36,STL,0.417,0.2840095465,0.3531914894,119.5659574,93,44,1,
2023-04-13,Corey Kluber,3.5,84.11787234,-1.799021277,54.08046809,5.099531915,6.5,1.2,1.68,6.48,0.22,TB,1,0.2864321608,0.3668122271,167.2052402,85,45,1,
2023-04-13,Adam Oller,3.5,88.08393782,-1.919378238,54.23,5.739222798,5.6,1.2,1.345,4.66,0.38,BAL,0.5,0.2462311558,0.3333333333,113.0152505,115,50,0,
2023-04-13,Spencer Turnbull,3.5,89.8003096,-1.488452012,54.12074303,5.569907121,4.5,0.8,2.25,13.5,0.55,TOR,0.667,0.2886836028,0.3485477178,,,,1,
2023-04-16,Gerrit Cole,8.5,93.07382445,-1.775548589,54.24832288,5.824216301,10.2,3.14,0.931,1.4,0.45,MIN,0.667,0.2381889764,0.3028673835,90.54659498,143,40,1,
2023-04-16,Dylan Cease,6.5,87.98233216,-1.428091873,54.36420495,6.245053004,13.2,3.43,0.796,1.65,0.54,BAL,0.533,0.2565130261,0.3515358362,119.8447099,139,71,0,
2023-04-16,Yu Darvish,7.5,86.96051282,-2.244,53.92128205,5.462769231,6.4,1.6,1.235,4.76,0.44,MIL,0.667,0.2709163347,0.3547826087,114.0295652,133,65,1,
2023-04-16,Framber Valdez,6.5,89.04035533,0.6925380711,54.58124365,6.144822335,8.5,3,1.211,1.89,0.67,TEX,0.571,0.2452025586,0.3135755258,97.33652008,118,44,1,
2023-04-16,Zac Gallen,6.5,87.98897959,-2.937081633,54.07455102,5.905306122,10.7,4.2,1.189,4.58,0.39,MIA,0.533,0.2515212982,0.3091247672,91.27001862,131,40,1,
2023-04-16,Andrew Heaney,5.5,87.46179245,2.828066038,54.02962264,4.98490566,14.1,3,1.696,8.22,0.24,HOU,0.467,0.2538461538,0.3333333333,101.1313131,126,58,0,
2023-04-16,Aaron Nola,6.5,86.9766129,-2.083407258,53.82866935,5.228608871,8.8,5,1.5,7.04,0.35,CIN,0.429,0.2532188841,0.3377110694,93.3564728,130,56,0,
2023-04-16,Sandy Alcantara,5.5,94.33137755,-2.008673469,54.41653061,6.121454082,5.3,1.83,1.179,5.79,0.46,ARI,0.533,0.2550200803,0.3012939002,89.12569316,104,28,1,
2023-04-16,Shane Bieber,5.5,86.34353933,-1.559325843,53.82337079,5.644101124,6.6,3.5,0.947,2.37,0.45,WSN,,,,,,,0,
2023-04-16,Reid Detmers,5.5,89.44763314,1.443136095,54.61523669,5.918254438,11.2,2.4,1.448,5.59,0.33,BOS,0.467,0.2376237624,0.3229166667,98.06944444,120,56,1,
2023-04-16,Mitch Keller,5.5,89.92591241,-2.081186131,54.08624088,6.007755474,11.2,2.75,1.359,3.57,0.51,STL,0.4,0.2722007722,0.3430531732,109.4476844,126,56,0,
2023-04-16,Alek Manoah,4.5,87.82760417,-2.874409722,53.71454861,5.823298611,6.8,1,1.705,4.91,0.33,TB,0.867,0.2788844622,0.3521126761,148.9612676,116,50,1,
2023-04-16,Shane McClanahan,5.5,91.42643979,0.7492408377,53.59717277,6.14986911,11.1,2.33,1.177,1.59,0.55,TOR,0.667,0.2824858757,0.3495798319,,,,1,
2023-04-16,Miles Mikolas,5.5,87.89912536,-2.009912536,54.12221574,6.51606414,9.4,5,2.233,10.05,0.34,PIT,0.6,0.2352941176,0.3161634103,97.98579041,125,58,0,
2023-04-16,Garrett Whitlock,5.5,89.22823529,-2.229176471,53.31588235,5.768588235,9,,,,,,,,,,,,0,
2023-04-16,Grayson Rodriguez,4.5,89.77713178,-2.257713178,53.32383721,5.896782946,10.6,2.2,1.607,6.75,0.37,CHA,0.4,0.2639405204,0.3162393162,99.18290598,121,38,0,
2023-04-16,Drew Smyly,4.5,85.68981481,1.93462963,54.78689815,6.455648148,9.3,3.33,1.448,6.52,0.34,LAD,0.533,0.2309278351,0.3385416667,111,144,76,0,
2023-04-16,Kyle Wright,4.5,89.14166667,-1.892727273,53.90477273,5.551818182,9,0.75,2.667,12,0.7,KC,0.267,0.2108433735,0.2725598527,68.8839779,142,38,1,
2023-04-16,Luis Cessa,3.5,86.3974026,-0.6542857143,54.80363636,6.187597403,3,0.6,1.778,7,0.49,PHI,0.333,0.2772466539,0.3309982487,108.1120841,145,41,0,
2023-04-16,Patrick Corbin,3.5,85.77452471,2.306730038,53.65057034,6.327072243,5.8,1.5,2.143,7.71,0.5,CLE,0.6,0.2380038388,0.3333333333,94.89490969,111,74,1,
2023-04-16,Zack Greinke,3.5,83.18464052,-1.404640523,54.59202614,6.197777778,6.1,3.67,1.408,3.31,0.41,ATL,0.733,0.2780952381,0.3585858586,118.7558923,141,63,1,
2023-04-16,Wade Miley,3.5,84.93846154,1.905207101,54.28946746,6.225680473,4.9,2,1.182,2.45,0.42,SD,0.5,0.2356321839,0.3205980066,104.641196,133,65,1,
2023-04-16,JP Sears,3.5,86.81693548,1.372217742,54.00266129,4.849475806,8.4,4.5,1.345,5.59,0.31,NYM,0.6,0.2199170124,0.3396551724,94.85344828,107,78,0,
2023-04-17,Jacob deGrom,8.5,95.36806084,-1.454714829,53.7878327,5.63391635,14.6,13.5,1.02,4.32,0.38,KC,0.25,0.2113207547,0.2724137931,70.29827586,152,41,0,
2023-04-17,Corbin Burnes,7.5,90.39442379,-0.7997026022,53.98315985,5.931115242,7.3,2.8,1.096,5.19,0.57,SEA,0.5,0.2321755027,0.3094462541,,,,0,
2023-04-17,Hunter Greene,7.5,95.00494505,-2.504450549,54.09881868,5.986236264,14.8,3.83,1.643,5.14,0.28,TB,0.875,0.2796296296,0.3556280587,150.7389886,126,56,0,
2023-04-17,Kevin Gausman,6.5,89.64435798,-2.545650485,53.9412233,5.891980583,11.3,8.33,1,1.35,0.49,HOU,0.438,0.247723133,0.3328050713,99.45641838,134,65,0,
2023-04-17,Cristian Javier,6.5,85.86762402,-2.04075718,54.52926893,5.673211488,7.4,7,1.177,4.24,0.39,TOR,0.625,0.2770870337,0.3454833597,,,,0,
2023-04-17,Shohei Ohtani,6.5,88.22533784,-2.262432432,53.68459459,5.670405405,11.4,2,0.947,0.47,0.42,BOS,0.5,0.2382739212,0.3217821782,98.78217822,127,57,0,
2023-04-17,David Peterson,5.5,88.87246696,2.078656388,53.5180837,6.169735683,9.8,2,1.841,4.91,0.53,LAD,0.5,0.2312138728,0.3371335505,110.6563518,155,80,1,
2023-04-17,Logan Webb,5.5,88.59242424,-1.331,53.69560606,5.11530303,11.6,7.33,1.235,4.76,0.51,MIA,0.5,0.245210728,0.3028169014,86.84859155,139,41,1,
2023-04-17,Brayan Bello,4.5,90.636,-1.9536,54.1144,5.4472,,,,,,,,,,,,,1,
2023-04-17,Jack Flaherty,4.5,87.05376782,-2.568472505,53.84264766,5.442158859,7.6,0.93,1.5,1.76,0.54,ARI,0.563,0.2542372881,0.2973913043,88.9373913,115,28,0,
2023-04-17,Chris Flexen,4.5,87.71494662,-0.4543772242,54.24042705,6.799003559,4.8,0.86,2.029,8.74,0.43,MIL,0.688,0.2631578947,0.3464696223,108.4417077,147,68,1,
2023-04-17,Merrill Kelly,4.5,88.86210191,-1.624267516,54.28799363,5.528121019,8.8,1.25,1.435,2.93,0.53,STL,0.438,0.2741935484,0.3455414013,113.4426752,132,61,0,
2023-04-17,Jordan Lyles,4.5,85.31795775,-1.629330986,53.74922535,5.962429577,7.8,3.75,1.442,5.19,0.26,TEX,0.6,0.2435643564,0.3108348135,98.41207815,129,46,0,
2023-04-17,Dustin May,4.5,94.67160494,-1.636049383,53.96349794,5.54617284,5.9,1.71,0.764,1.47,0.43,NYM,0.625,0.2170542636,0.3381642512,96.6489533,113,85,0,
2023-04-17,Kyle Muller,4.5,89.1630303,1.364121212,54.09433333,6.176515152,6.8,1.57,1.5,5.52,0.56,CHC,0.571,0.2742268041,0.3358208955,107.369403,120,44,0,
2023-04-17,Ryan Weathers,4.5,89.89608939,2.373463687,54.58653631,5.829329609,4.5,1.67,1.1,2.7,0.47,ATL,0.75,0.2741935484,0.3523809524,116.9587302,153,65,1,
2023-04-17,Hayden Wesneski,4.5,88.8794702,-2.450662252,53.89384106,5.587086093,6,0.67,2.833,7.5,0.36,OAK,0.188,0.2351851852,0.3109656301,94.92798691,143,54,1,
2023-04-17,Kyle Freeland,3.5,85.74119318,1.469915014,53.88526912,5.706458924,5.3,2.2,0.964,0.96,0.33,PIT,0.563,0.2339622642,0.3140495868,95.80826446,131,62,0,
2023-04-17,Max Fried,3.5,86.44144144,1.336396396,54.16666667,6.047207207,5.4,,,,,,,,,,,,1,
2023-04-17,Rich Hill,3.5,78.65726681,1.642798265,54.34806941,5.663644252,4.8,2,1.333,7.2,0.34,COL,0.313,0.2527675277,0.3039049236,78.50594228,143,36,1,
2023-04-18,Spencer Strider,7.5,92.74867257,-1.961091445,53.45843658,5.887699115,15.2,3.38,1.188,3.38,0.32,SD,0.444,0.2282793867,0.3089552239,94.91044776,153,68,1,
2023-04-18,Logan Gilbert,6.5,89.60733591,-1.155230769,52.97623077,6.176192308,10.8,5,1.08,2.7,0.53,MIL,0.706,0.2631578947,0.3466257669,106.9509202,154,73,1,
2023-04-18,Lance Lynn,6.5,89.09447674,-3.297645349,53.92075581,5.607093023,11.8,3,1.625,7.31,0.3,PHI,0.375,0.2931937173,0.3476874003,118.3429027,149,46,1,
2023-04-18,Chris Sale,6.5,87.49846743,3.168582375,54.12636015,5.361877395,14.3,2.71,2.083,11.25,0.41,MIN,0.625,0.2299065421,0.2930153322,86.29301533,153,41,1,
2023-04-18,Blake Snell,6.5,91.15658363,2.044377224,53.63708185,6.73569395,11.1,1.6,2.154,6.92,0.38,ATL,0.765,0.2711864407,0.3508245877,114.2353823,161,69,0,
2023-04-18,Zack Wheeler,5.5,91.97926566,-1.939460043,53.34801296,5.517732181,10.3,2.57,1.404,4.02,0.42,CHA,0.375,0.2614035088,0.314516129,101.0306452,134,41,0,
2023-04-18,Taj Bradley,4.5,91.48818898,-1.49953125,54.00953125,6.097578125,14.4,8,1.2,5.4,0.36,CIN,0.438,0.2495274102,0.3338815789,91.05921053,147,63,1,
2023-04-18,Edward Cabrera,5.5,91.68642534,-1.963868778,54.03676471,6.246221719,7.7,0.71,1.971,4.63,0.58,SF,0.333,0.2457466919,0.3288814691,,,,1,
2023-04-18,Nathan Eovaldi,5.5,89.83684211,-2.519678363,53.80625731,5.486608187,10.9,6.33,1.532,6.32,0.5,KC,0.235,0.2021466905,0.263502455,65.24549918,162,43,0,
2023-04-18,Clayton Kershaw,5.5,86.53870968,1.423343109,54.13982405,6.210791789,8.5,4.25,1.111,3.5,0.55,NYM,0.647,0.227027027,0.343373494,100.560241,116,88,1,
2023-04-18,Nick Lodolo,5.5,87.20195531,3.662234637,54.27927374,5.708463687,14.3,4.5,1.412,2.12,0.5,TB,0.824,0.2765217391,0.3507692308,147.3461538,131,58,0,
2023-04-18,Marcus Stroman,5.5,88.81732852,-0.9290613718,54.77238267,5.264620939,10,2.5,1,1,0.67,OAK,0.176,0.2351916376,0.3069767442,92.94108527,152,54,0,
2023-04-18,Chris Bassitt,4.5,84.7237435,-1.366256499,54.21941075,5.736793761,7,1.5,1.63,7.63,0.33,HOU,0.471,0.2508591065,0.3333333333,103.6113602,146,68,1,
2023-04-18,Hunter Gaddis,4.5,87.2771028,-2.525934579,53.68280374,6.112056075,7.8,2.2,1.5,8.53,0.32,DET,0.357,0.20781893,0.2723880597,71.44962687,142,42,0,
2023-04-18,Josiah Gray,4.5,88.4503386,-1.858216704,54.78404063,5.211038375,7,2.6,1.44,4.32,0.5,BAL,0.563,0.2602230483,0.355450237,124.1737757,146,78,0,
2023-04-18,Sonny Gray,4.5,85.98897849,-1.286129032,54.03086022,5.518709677,10.1,2.71,1,0.53,0.36,BOS,0.471,0.2380952381,0.3219814241,99.32662539,136,62,1,
2023-04-18,Brad Keller,4.5,89.56792453,-1.907169811,54.39590296,6.106576819,8.5,2,1.118,2.12,0.53,TEX,0.625,0.2373831776,0.3071786311,96.68447412,132,50,0,
2023-04-18,Dean Kremer,3.5,89.38131579,-2.592578947,54.29026316,5.846315789,5.8,1.33,1.784,9.49,0.4,WSN,,,,,,,1,
2023-04-18,Tylor Megill,4.5,89.11695238,-1.41392381,53.31390476,6.015180952,7.3,1.86,1.188,2.25,0.47,LAD,0.471,0.2324324324,0.3323076923,109.6969231,164,80,0,
2023-04-18,Jordan Montgomery,4.5,88.66231263,1.841027837,53.94856531,6.614111349,8.3,3.4,1.091,2.45,0.51,ARI,0.588,0.25,0.2960526316,88.63980263,124,32,0,
2023-04-18,Colin Rea,4.5,89.06144578,-2.265903614,53.94843373,5.616144578,9.5,6,0.529,1.59,0.5,SEA,0.471,0.2301038062,0.3060278207,,,,0,
2023-04-18,Clarke Schmidt,4.5,89.30453564,-1.487602592,54.40017279,5.643520518,9.3,2.2,1.969,8.44,0.38,LAA,0.5,0.2415730337,0.3327922078,99.90097403,140,66,1,
2023-04-18,Vince Velasquez,3.5,88.85280236,-1.936165192,53.76359882,5.591651917,6.8,1.43,1.575,5.4,0.25,COL,0.294,0.2556521739,0.3089171975,80.48089172,152,40,1,
2023-04-18,Ken Waldichuk,4.5,87.85480226,2.883644068,53.63158192,5.406836158,6.6,1.57,1.933,10.2,0.39,CHC,0.6,0.2892249527,0.346483705,114.2264151,127,46,1,
2023-04-18,Alex Wood,4.5,87.2820339,2.245559322,54.33101695,4.933084746,9.4,1.6,1.565,1.17,0.3,MIA,0.529,0.2477396022,0.3033333333,87.14333333,145,41,0,
2023-04-18,Drey Jameson,3.5,91.54870968,-2.070677419,54.88477419,5.634354839,8.8,2.4,1.054,1.46,0.42,STL,0.412,0.2716468591,0.3419062027,110.6384266,139,61,0,
2023-04-19,Max Scherzer,6.5,87.484,-3.2428,54.24467368,5.359010526,7.7,2,1.225,4.41,0.25,LAD,0.471,0.2324324324,0.3323076923,109.6969231,164,80,0,
2023-04-19,Justin Steele,6.5,88.57153025,1.876049822,54.24697509,6.126049822,9,3.17,0.842,1.42,0.6,OAK,0.176,0.2351916376,0.3069767442,92.94108527,152,54,0,
2023-04-19,Alex Cobb,5.5,91.216,-2.04348,54.58932,5.79704,8.8,7,1.465,3.14,0.6,MIA,0.529,0.2477396022,0.3033333333,87.14333333,145,41,1,
2023-04-19,Eric Lauer,5.5,86.25253623,1.688369565,54.26293478,6.023115942,8.8,2.14,1.565,5.28,0.32,SEA,0.471,0.2301038062,0.3060278207,,,,0,
2023-04-19,Drew Rasmussen,5.5,91.03916449,-1.911383812,53.9073107,5.939190601,9.9,4.75,0.865,2.6,0.5,CIN,0.438,0.2495274102,0.3338815789,91.05921053,147,63,1,
2023-04-19,Jhony Brito,4.5,90.69058524,-1.40735369,54.25933842,6.167226463,6.8,2,1.406,6.75,0.53,LAA,0.5,0.2415730337,0.3327922078,99.90097403,140,66,0,
2023-04-19,Griffin Canning,4.5,88.82898551,-1.09057971,54.43695652,5.948695652,7.2,,,,,,,,,,,,0,
2023-04-19,Mike Clevinger,4.5,88.61726619,-1.569784173,53.86798561,5.837553957,7.7,1.4,1.347,2.2,0.29,PHI,0.375,0.2931937173,0.3476874003,118.3429027,149,46,0,
2023-04-19,Marco Gonzales,4.5,83.98857143,2.26852381,54.07685714,5.464142857,5.1,1.2,1.594,4.22,0.4,MIL,0.706,0.2631578947,0.3466257669,106.9509202,154,73,1,
